 4.11229628  4.11229628  4.11229628 90.         90.         90.        
C  0. 0. 0.
C  2.05614814 0.         0.        
C  0.         2.05614814 0.        
C  0.         0.         2.05614814
C  1.33400263 0.         2.05614814
C  2.77829365 0.         2.05614814
C  2.05614814 1.33400263 0.        
C  2.05614814 2.77829365 0.        
C  0.         2.05614814 1.33400263
C  0.         2.05614814 2.77829365
-63.291615
40 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40
0.125 0.5 0.0 -9.712404011318734 -9.02997945028144 -6.13035755368784 -4.732783239710357 -3.8345208052990265 -3.292435267404294 -2.5860155515098913 -1.9685961179285052 -0.2622261358221301 0.02385237688044255 0.2563641630783322 1.5805561553583705 3.2332729766461217 4.685938870587619 5.3461594382588915 5.806057627264404 6.398500303957438 8.082529823439323 9.147153718849808 10.554799655147773 11.270251188649851 11.291394304328657 11.772751947239964 12.217079543765571 12.959106700248409 12.971087693782874 13.2626357365697 14.690354725702734 15.416917164560301 16.552684473009545 16.55894160651151 16.6759743976634 17.51234105372821 18.463919080592504 19.377606226642893 20.60205700924178 22.256180312914854 26.60826754517624 27.236433673930854 27.56720200928726 
0.1875 0.5 0.0 -9.593753077635872 -8.933568062085875 -6.407987471816489 -5.0025466878601375 -3.9631672038245247 -3.274168166049278 -2.6447790164609737 -1.5578066041482044 -0.11254967125317496 -0.11153349493107698 -0.039416664537222715 2.164980899696086 3.823152895007867 4.186574676915626 5.367367906831398 5.860123172998145 6.191302720765281 7.847249316629952 9.027159221707493 10.97722759916957 11.023883572907463 11.612013536800658 11.890737839020106 12.226767586721438 12.443913229807835 13.293248114078176 13.347482657783384 14.447452309571814 15.300940238743868 16.09319452904645 16.491781169057212 16.644533992988432 17.582493314718175 18.37862235151359 19.617138936658606 21.370898664622107 22.320037459492607 26.715608364986952 26.88847151555431 27.346970673148725 
0.25 0.5 0.0 -9.428863569499098 -8.805959721328135 -6.761191357858782 -5.326091700955606 -4.006210852430997 -3.252775873901707 -2.6844488473197723 -1.28088797916812 -0.34090824023076866 -0.06949197989778029 0.0973268019478545 2.7956277616895706 3.628877655747293 4.431130594711315 5.416408416945997 5.971193093159796 5.974052338225141 7.614115289196985 8.848542375924852 10.674200969671984 11.445606682570174 11.798091719579453 11.997970402611356 12.078101985252387 12.242778226468353 13.348024668624172 13.44006401441413 14.099548821321344 15.482665895154975 15.661424391018317 16.40483937665293 16.647469903348345 17.760550599309294 18.261854172361804 19.867786788454378 22.09409592839245 22.38257229244244 26.743574796841248 26.850363914700015 27.24428327292793 
0.3125 0.5 0.0 -9.22012415879893 -8.658300473794421 -7.151179832295602 -5.659307421997169 -3.985760101719283 -3.232309571184702 -2.7038291542346986 -1.3109968741933797 -0.2644097768696521 -0.08224680121726445 0.36447460029046047 3.061764701975597 3.3918193132954535 4.9434339012369 5.532723796367199 5.7697410459596 6.223039874976135 7.417313415947016 8.595389960295632 10.386072653117314 11.065241883752662 11.731641880963616 12.272322484859055 12.304776233331477 12.381987038065565 13.254082941481563 13.438061460349632 13.737416304138545 15.286351043169478 15.968772201229035 16.30192891065932 16.728919571869245 17.980709454603076 18.11730176975994 20.101195673423724 22.379108423076904 22.68534667758694 27.01401798897335 27.238645734714094 29.040364914131715 
0.375 0.5 0.0 -8.970247944637268 -8.509704215960706 -7.545101801157982 -5.956812830910024 -3.9327553568491873 -3.2132149901128244 -2.7097310149337552 -1.4990817639835514 -0.08561134229625854 -0.04537705911817194 0.6876000775564208 2.5109932302767812 3.855354157836861 5.244122384906175 5.609985931360351 5.754777419570902 6.690324295707902 7.29142225277839 8.253674044645965 10.146407932409637 10.295559274952408 11.920990172128302 12.314390014219812 12.460438353964085 12.721335597314205 13.009180946732528 13.426656157754966 13.559292969424247 14.995953700079625 16.196900940421273 16.52102443369927 16.901282522813528 17.947844867251117 18.183527240641578 20.29186948353493 22.267589451293446 23.104578685862727 27.153411230484757 27.359692900837665 27.43743477259888 
0.4375 0.5 0.0 -8.689737470405507 -8.392442636835911 -7.918820212903696 -6.169076620307751 -3.8821096860134343 -3.200314279087458 -2.7101410566889457 -1.6552232850684387 -0.08530496088593853 0.126724639522543 1.0626924381490754 1.994748078947767 4.118738773877888 5.370400539012999 5.509054232329995 6.070465666013689 7.263591623473719 7.2703771059933615 7.8428252526519975 9.5855619008412 9.996398995031377 12.041533569875288 12.361557935190653 12.517229319309479 12.82718668344465 12.952690764826468 13.206276829066708 13.658978392922025 14.813458607054041 16.113748702809247 16.960749553669675 17.14279327556248 17.745822667484443 18.322872423721403 20.421050684405714 22.09740771837417 23.33486343162481 27.20398610409823 27.562303542382843 27.74776993307889 
0.5 0.5 0.0 -8.480587912687758 -8.346366313951819 -8.159834776178053 -6.2479450006168875 -3.8599085285849357 -3.194563214464647 -2.7093613137661947 -1.71280403029473 -0.0872450308491821 0.18848683884589745 1.4104846234311974 1.6016334210477121 4.1989957443113255 5.403895921683557 5.475619467675215 6.248006986147553 7.360394930846981 7.540124424642666 7.6051649277186115 9.2174227331245 9.94294638104544 12.088417794876156 12.385891697688283 12.52486640473814 12.763890366592308 13.040590620937012 13.122971599163394 13.700360298076017 14.752319790484544 16.08367710013143 17.127568773000753 17.318901059227336 17.595526368376017 18.36942414681704 20.469582436530924 22.011468568621943 23.40610152598435 27.220076246670985 27.661198783178154 28.097212911823288 
0.46153846153846156 0.46153846153846156 0.0 -8.652556995544048 -8.390040748270055 -7.952925266143083 -6.190526348788141 -3.869409704184126 -3.201122816576973 -2.735798784589655 -1.645201418093425 -0.11343310262296671 0.16850612987633307 1.2247020680299905 1.8062449894725645 4.180467639434542 5.106723850621048 5.521286554667172 6.428499050113809 7.131854549933384 7.5218899621485455 7.780832496968198 9.371781914591184 9.926660775615627 12.058354157135145 12.465979085536183 12.475609493400396 12.765891570016805 13.009667474074645 13.20102345054865 13.678520882453977 14.764159066619456 16.12979722780984 17.077627893357814 17.228652727562775 17.627134221461226 18.302890716119133 20.44614633516813 21.982073768473146 23.44934877097373 26.9733166377643 27.61254040135795 27.993406181272253 
0.4230769230769231 0.4230769230769231 0.0 -8.970126699563348 -8.347714344067471 -7.701657308080456 -6.019892082474658 -3.89729591983347 -3.224971584797167 -2.7883030147126813 -1.4684211733552521 -0.19849363609533197 0.10604514426401254 0.993710468549905 2.0936988427810843 4.11096152700397 4.580264321085092 5.658179808994507 6.571233580982599 6.692413763496107 7.78080787111825 7.912542068790113 9.603426404982136 10.028482903280468 11.967369854652844 12.324887938271507 12.641938849598219 12.831954960373881 12.938211215364413 13.405901211342243 13.613329028148693 14.797322407286298 16.242703523857394 16.940387080185992 17.040189243992877 17.654597025984465 18.107195599433453 20.37277477685664 21.90710474238186 23.52508987681917 26.514734951088577 27.496750122466203 27.851342266926512 
0.3846153846153846 0.3846153846153846 0.0 -9.293951434490694 -8.26747802543714 -7.492441315882216 -5.7495799498696725 -3.944347003876804 -3.2594771029936913 -2.8219019624125834 -1.2317676803231317 -0.33759229799286367 0.017481315597832812 0.7935849251188449 2.391310192184743 3.8902952573873275 4.093853520587041 5.882608266483348 6.221756521135551 6.603076473148691 7.829526769200924 8.327893518991736 9.67440886505538 10.405990755492805 11.810953070446505 12.082958873136391 12.786745768282735 12.862476809440398 13.068154893710412 13.514120546020521 13.703116025452493 14.845395009409481 16.346554130218188 16.75324337102127 16.866622632601185 17.646496554077608 17.81424116375078 20.243110184227536 21.79901883409255 23.515440992412728 26.153641618190512 27.404105924979515 27.705991940463953 
